id,length,pack,state,size,condition,cat2,stacks,width,count,target
89,6774,43032.311,ST-2A,980,CO-2,CA-19,43156,11065.958,6312.26793,TA-0
90,26709,48405.0685,ST-2B,5250,CO-D,CA-2,36832,11616.655,37750.92215,TA-2
91,16196,41425.8889,ST-0,20038,CO-9,CA-17,37798,13221.651,72429.77453,TA-0
92,38159,37082.6242,ST-18,50288,CO-9,CA-2,29063,3169.538,74212.00764,TA-4
93,15847,49764.5024,ST-0,33301,CO-4,CA-18,49908,21853.83,59325.34352,TA-1
94,31789,42073.8972,ST-1E,19548,CO-A,CA-10,30538,21006.059,9234.20479,TA-2
95,12651,51627.2454,ST-13,23977,CO-8,CA-8,36398,20327.951,20594.68885,TA-2
96,9787,62652.7549,ST-19,21796,CO-2,CA-11,39599,1646.504,72214.04517,TA-1
97,12197,37325.4898,ST-9,31335,CO-A,CA-E,35226,12078.819,49285.25261,TA-2
98,38026,54353.5402,ST-2A,34507,CO-C,CA-10,40984,5338.069,46120.74533,TA-4
99,23438,50054.4343,ST-12,9272,CO-4,CA-7,51076,15245.018,72571.70068,TA-1
100,32809,64985.9683,ST-7,11207,CO-5,CA-7,39336,11264.134,24646.42238,TA-0
101,25174,31427.5168,ST-3,6312,CO-A,CA-E,38923,20744.968,34245.45962,TA-0
102,28255,43700.114,ST-A,24573,CO-1,CA-F,47374,17638.468,3316.3432,TA-1
103,15782,37177.0812,ST-9,16945,CO-0,CA-A,22594,26454.561,43282.87988,TA-1
104,21478,46817.965,ST-F,5957,CO-4,CA-16,44623,17652.236,28456.01794,TA-0
105,17671,36351.0778,ST-7,28553,CO-C,CA-D,40352,3146.892,3745.09458,TA-2
106,1380,49846.5049,ST-28,42719,CO-1,CA-B,46638,22785.516,45984.27779,TA-3
107,3297,43265.6393,ST-22,4418,CO-9,CA-19,57220,16823.394,38770.55439,TA-0
108,9790,NA,ST-12,42402,CO-A,CA-3,43083,4204.965,15237.54797,TA-3
109,34224,46479.9054,ST-25,35164,CO-1,CA-11,45132,3397.71,70990.32118,TA-4
110,20863,45609.0086,ST-29,27109,CO-D,CA-3,37059,10968.755,16543.38362,TA-3
111,32074,35690.3485,ST-12,47716,CO-0,CA-19,42098,16928.649,51265.2536,TA-4
112,13371,51031.2203,ST-6,20583,CO-1,CA-10,42185,24603.275,51721.46777,TA-1
113,36555,45994.8088,ST-1A,12107,CO-5,CA-13,40881,27196.12,52608.38227,TA-2
114,3652,54483.3719,ST-4,27306,CO-0,CA-0,50083,18880.617,24289.94704,TA-2
115,27249,31000.5917,ST-6,21773,CO-0,CA-14,23137,24541.394,74330.30334,TA-1
116,13611,62323.1595,ST-22,49507,CO-6,CA-7,44608,27105.0,80661.77402,TA-4
117,33094,44672.9067,ST-28,44601,CO-C,CA-1,48705,5964.374,79937.54699,TA-4
118,6219,35805.8708,ST-1,10274,CO-9,CA-9,64062,19792.97,73085.0383,TA-0
119,10782,NA,ST-16,39060,CO-0,CA-E,51393,8688.387,65603.6249,TA-3
120,23330,49926.3319,ST-23,13137,CO-2,CA-11,56784,21868.783,82750.19947,TA-1
121,27258,43360.5574,ST-11,49254,CO-D,CA-1,37475,1739.361,2350.17649,TA-4
122,33921,61678.93,ST-28,29969,CO-2,CA-A,49731,20081.444,18395.8749,TA-4
123,29818,59042.4445,ST-1C,33319,CO-3,CA-8,43285,15863.689,7463.59942,TA-4
124,14739,49096.018,ST-26,47852,CO-3,CA-16,38474,19610.36,8047.34873,TA-4
125,2644,40196.6455,ST-16,13628,CO-4,CA-5,37067,18862.995,67614.20842,TA-0
126,30247,32815.5174,ST-9,14277,CO-C,CA-4,21552,3285.917,45519.27295,TA-1
127,18132,NA,ST-4,5593,CO-0,CA-C,37249,17889.414,47691.597,TA-0
128,22431,38713.8889,ST-1,28311,CO-D,CA-1,35319,2828.203,15426.74397,TA-2
129,27003,58888.9384,ST-18,26560,CO-2,CA-C,38728,1951.047,33425.15194,TA-3
130,23225,51917.7099,ST-A,18901,CO-1,CA-10,43338,8050.059,8537.37763,TA-1
131,25151,48139.2522,ST-16,22816,CO-8,CA-10,22566,21012.859,58786.92133,TA-2
132,31897,58698.477,ST-19,21186,CO-7,CA-19,39621,24071.46,50190.29118,TA-2
133,1013,42886.3582,ST-D,24436,CO-2,CA-C,31521,18959.208,31314.55133,TA-1
134,23648,39072.236,ST-D,15478,CO-D,CA-F,50287,1066.704,53021.71034,TA-1
135,2828,54452.3964,ST-22,13515,CO-1,CA-5,34487,13850.349,28999.50486,TA-0
136,9289,66970.2861,ST-2A,43768,CO-0,CA-11,35402,7604.82,42172.73083,TA-3
137,3811,NA,ST-2B,46398,CO-2,CA-9,37888,16368.997,20513.36868,TA-3
138,12478,39026.2599,ST-E,51010,CO-B,CA-11,60254,9567.825,65290.40865,TA-4
139,660,44040.2458,ST-2,9377,CO-1,CA-14,20825,25769.329,26062.49587,TA-0
140,37766,43662.902,ST-19,20133,CO-D,CA-1,45045,18399.113,46034.67404,TA-3
141,31920,34086.7028,ST-1F,18292,CO-A,CA-E,33536,23929.221,27588.38641,TA-3
142,8130,33109.3122,ST-26,8023,CO-B,CA-17,44405,14099.82,70911.75627,TA-0
143,16714,52606.13,ST-20,16004,CO-2,CA-4,37549,6183.081,50132.40636,TA-2
144,24703,39921.6963,ST-27,7023,CO-A,CA-17,36492,7299.758,5993.7284,TA-1
145,27515,57760.6666,ST-2B,41216,CO-D,CA-12,39296,3709.327,60665.09507,TA-4
146,28218,58560.0155,ST-8,27107,CO-B,CA-2,30906,4866.148,52921.08423,TA-2
147,19633,53113.0109,ST-20,44656,CO-9,CA-9,42301,15328.283,16191.14161,TA-4
148,1914,30330.9205,ST-2,51056,CO-5,CA-15,40008,17262.932,41354.08101,TA-3
149,29520,46721.8024,ST-1C,43698,CO-6,CA-13,39577,14199.322,49146.91957,TA-4
150,12233,27017.923,ST-15,2046,CO-7,CA-E,27127,23374.297,7014.55607,TA-0
151,25798,53227.4264,ST-D,38148,CO-6,CA-7,21657,3416.197,82183.15336,TA-3
152,38758,55213.0851,ST-1B,4132,CO-D,CA-15,51427,6647.625,36530.09038,TA-1
153,28512,55282.983,ST-13,4407,CO-3,CA-8,24586,11063.326,52523.33672,TA-0
154,4181,44480.7007,ST-16,33482,CO-A,CA-2,44995,15090.153,70228.40483,TA-2
155,15899,34775.427,ST-19,45702,CO-0,CA-F,40782,9717.186,52571.29102,TA-4
156,25677,20805.2889,ST-D,39357,CO-0,CA-15,52606,8143.065,20123.74144,TA-3
157,27490,29605.4514,ST-4,26804,CO-7,CA-11,25532,15943.74,36155.51157,TA-1
158,27010,48829.4679,ST-23,28175,CO-B,CA-B,34869,14282.403,18429.70273,TA-4
159,9865,47547.3232,ST-4,13245,CO-2,CA-19,31158,12820.557,45314.48783,TA-0
160,21386,46947.4622,ST-1,29057,CO-3,CA-8,20299,1534.29,76045.06373,TA-2
161,21658,54888.6815,ST-25,30093,CO-6,CA-11,29595,5852.735,72943.93218,TA-3
162,7789,39535.9863,ST-12,6374,CO-2,CA-8,41628,13819.16,63449.31552,TA-0
163,22827,43726.5364,ST-17,10162,CO-2,CA-E,34402,25768.238,58917.102,TA-1
164,38001,45274.2613,ST-21,40627,CO-C,CA-D,32560,3754.811,38496.38365,TA-4
165,24108,42169.5667,ST-E,32047,CO-7,CA-15,30239,1949.749,26683.92979,TA-2
166,17548,39214.5564,ST-B,46114,CO-0,CA-14,35025,4140.069,32002.74842,TA-3
167,10623,50578.2294,ST-20,36175,CO-A,CA-1,31617,22807.069,73672.64457,TA-3
168,19500,18523.9831,ST-4,4643,CO-1,CA-16,26801,13405.982,37658.89716,TA-0
169,39201,36945.4116,ST-27,21237,CO-5,CA-19,36115,4520.758,9565.92792,TA-4
170,18252,54679.3889,ST-26,44961,CO-3,CA-D,49826,870.253,78159.12352,TA-4
171,17590,45136.1902,ST-25,1219,CO-1,CA-7,36608,12785.913,12948.94524,TA-0
172,27698,43479.4374,ST-F,34390,CO-B,CA-11,31103,25094.144,84531.12351,TA-3
173,33246,31353.3478,ST-1B,42097,CO-4,CA-D,39839,15076.467,68246.59842,TA-4
174,35457,56081.8148,ST-19,43429,CO-3,CA-6,24807,23781.182,66266.29918,TA-4
175,4794,49374.4533,ST-3,14342,CO-5,CA-10,48219,23224.739,18433.87052,TA-0
176,1127,42134.2413,ST-2B,27586,CO-C,CA-3,44568,27131.703,75911.58026,TA-2
177,30512,52499.1928,ST-F,9278,CO-7,CA-18,42326,14339.737,78304.45048,TA-0
178,4616,63260.7348,ST-17,13103,CO-B,CA-16,20691,20625.105,7750.16142,TA-0
179,29974,43627.5377,ST-3,2343,CO-A,CA-2,36962,2954.599,3533.70436,TA-0
180,28841,48828.1746,ST-14,9824,CO-2,CA-5,43961,2001.55,1441.64147,TA-1
181,26645,41935.6267,ST-5,5512,CO-A,CA-7,20662,24425.836,74647.66408,TA-0
182,15062,NA,ST-7,17414,CO-4,CA-5,36263,3334.223,78886.8636,TA-1
183,28942,47000.853,ST-14,15779,CO-7,CA-2,25040,26262.877,14774.63861,TA-2
184,24300,48320.6741,ST-1C,44680,CO-A,CA-0,38283,6850.693,13122.6474,TA-4
185,23179,30095.138,ST-9,22981,CO-B,CA-C,30012,12587.359,70626.87053,TA-1
186,14102,57167.0003,ST-B,48098,CO-8,CA-6,36136,7264.884,85720.73751,TA-4
187,29641,71403.5563,ST-18,14172,CO-9,CA-D,43040,17075.441,40359.65009,TA-2
188,4752,47313.1224,ST-24,14212,CO-4,CA-5,44923,26155.65,39397.23991,TA-1
189,18825,29961.1467,ST-10,30065,CO-1,CA-14,33658,7583.296,5178.03843,TA-2
190,24217,58084.0397,ST-16,41279,CO-6,CA-1,34746,15927.056,13463.97623,TA-4
191,15021,59664.4221,ST-13,49634,CO-A,CA-4,61928,916.095,80909.76451,TA-4
192,33264,NA,ST-2,23677,CO-0,CA-D,41328,4830.254,4589.20336,TA-1
193,16296,21647.7516,ST-4,19617,CO-6,CA-F,40731,13499.404,56790.03655,TA-1
194,22077,41322.5323,ST-4,42649,CO-3,CA-17,49724,15329.114,64151.14355,TA-2
195,36500,46311.3746,ST-8,16602,CO-1,CA-6,30264,12932.373,47367.39059,TA-1
196,3135,38024.1993,ST-29,34799,CO-2,CA-17,29106,23245.74,21663.56246,TA-2
197,30612,35182.0859,ST-E,34161,CO-0,CA-9,52435,24440.816,32865.66642,TA-3
198,30511,63249.3025,ST-14,34499,CO-6,CA-15,54932,18612.536,33827.5911,TA-3
199,1707,44624.5004,ST-17,7373,CO-0,CA-19,35686,16015.652,72902.26362,TA-0
200,10146,41947.0802,ST-13,38289,CO-5,CA-F,52456,2659.528,21372.36935,TA-3
201,13227,53675.171,ST-0,40709,CO-7,CA-A,29716,5047.747,14676.6485,TA-3
202,30214,48196.9681,ST-6,35083,CO-8,CA-5,42442,4350.066,20511.30845,TA-3
203,4048,54126.9667,ST-1C,17366,CO-5,CA-3,58759,11288.868,16513.14682,TA-1
204,11201,50440.7024,ST-10,15646,CO-8,CA-7,25543,24929.071,23652.01245,TA-1
205,30892,56348.4599,ST-2B,42666,CO-5,CA-C,29704,13153.655,2976.90767,TA-4
206,10246,NA,ST-1A,23987,CO-4,CA-2,44183,15853.337,2042.42966,TA-2
207,25879,37458.1758,ST-C,32136,CO-5,CA-19,49962,6225.708,50699.50262,TA-2
208,2732,30056.0602,ST-A,31038,CO-2,CA-10,52256,26171.597,69379.50048,TA-1
209,23437,54244.0588,ST-14,33336,CO-B,CA-12,33791,27129.974,52380.75991,TA-3
210,7315,45662.4071,ST-29,12095,CO-A,CA-1,46637,6977.258,60131.11136,TA-1
211,1972,54027.4851,ST-C,48458,CO-2,CA-14,36710,10677.646,2220.25459,TA-3
212,5646,55281.4546,ST-2A,13177,CO-7,CA-5,37501,16859.573,59782.81679,TA-1
213,28191,51563.1541,ST-11,42186,CO-A,CA-10,31282,10842.804,36316.32252,TA-4
214,38423,43995.9006,ST-1C,37567,CO-4,CA-2,39481,6621.773,50643.98972,TA-4
215,8198,36812.7327,ST-8,50100,CO-D,CA-19,48537,24271.866,56576.88703,TA-3
216,25997,33658.8959,ST-17,38554,CO-6,CA-B,28579,5503.514,82449.00247,TA-4
217,32727,57230.186,ST-24,1975,CO-2,CA-14,46078,22314.008,48543.58714,TA-1
218,14240,54647.0221,ST-12,39078,CO-3,CA-7,33705,14563.771,52635.5389,TA-3
219,3850,46582.4988,ST-0,23893,CO-8,CA-19,25349,8953.308,6216.68617,TA-0
220,19026,34124.2272,ST-B,27384,CO-0,CA-F,63412,10010.908,55475.22621,TA-2
221,23125,59377.8075,ST-16,38559,CO-9,CA-D,29245,16114.805,13877.04812,TA-3
222,654,39246.9989,ST-23,11216,CO-D,CA-16,44875,8664.888,8913.89689,TA-0
223,12798,74166.8787,ST-2A,23833,CO-B,CA-17,31616,7716.354,81952.10133,TA-2
224,760,48953.5143,ST-2A,9316,CO-3,CA-3,43302,17763.762,70293.51576,TA-0
225,30201,44994.9347,ST-1C,14269,CO-1,CA-11,41451,21785.119,73246.52269,TA-2
226,9082,63181.3662,ST-20,8134,CO-3,CA-0,32988,20561.899,82472.04959,TA-0
227,12597,65277.3554,ST-D,43285,CO-B,CA-1,43993,6467.905,43551.40866,TA-3
228,2618,45574.3989,ST-1F,21058,CO-B,CA-2,37646,8302.188,25124.47221,TA-1
229,6010,61805.2493,ST-13,44192,CO-2,CA-3,35657,11113.075,3877.07679,TA-3
230,37106,51362.0173,ST-14,17916,CO-D,CA-13,39273,17381.838,20577.98552,TA-2
231,8902,38250.4959,ST-2A,41661,CO-A,CA-C,23826,10785.028,30267.90209,TA-3
232,25238,37764.3125,ST-26,29202,CO-8,CA-12,40705,24521.992,33363.33112,TA-3
233,24124,58353.3442,ST-1,11905,CO-D,CA-D,49120,13719.092,21569.96827,TA-0
234,12942,43572.1041,ST-16,4412,CO-A,CA-0,34992,18069.486,18433.88236,TA-0
235,21999,52259.8964,ST-7,39643,CO-6,CA-10,39635,17848.851,29726.93835,TA-3
236,25277,NA,ST-27,4419,CO-B,CA-A,57030,8035.701,65615.98512,TA-1
237,8777,15265.1373,ST-10,37311,CO-5,CA-3,32282,17849.858,55827.74747,TA-3
238,27511,57112.4884,ST-3,10857,CO-3,CA-1,33776,11347.727,81573.28163,TA-0
239,970,57347.332,ST-17,35644,CO-7,CA-A,38788,4703.741,50576.59764,TA-2
240,17127,41976.7484,ST-26,43440,CO-D,CA-A,42387,18782.178,78939.98372,TA-4
241,8570,60346.0091,ST-2,10536,CO-D,CA-12,45019,936.801,28717.45495,TA-0
242,6408,42186.1746,ST-22,5167,CO-1,CA-14,36304,7616.708,29954.50471,TA-0
243,38572,58659.9498,ST-B,27092,CO-9,CA-13,54050,4633.507,28980.62526,TA-2
244,27204,NA,ST-8,39431,CO-A,CA-16,53946,14322.249,87659.34513,TA-2
245,34200,47055.7492,ST-6,15070,CO-2,CA-6,47234,17468.648,45144.15734,TA-1
246,3279,42169.1783,ST-16,35981,CO-4,CA-13,45728,15119.723,69327.34927,TA-2
247,18457,30133.5281,ST-25,16035,CO-3,CA-3,53730,15969.808,46576.46169,TA-2
248,19598,NA,ST-1D,30723,CO-A,CA-B,57053,3716.66,79840.64652,TA-3
249,17073,59687.0339,ST-3,25267,CO-2,CA-19,48023,25208.264,58605.00038,TA-1
250,26888,28012.9454,ST-16,12540,CO-C,CA-A,39143,14638.924,7011.9365,TA-1
251,2641,27051.4195,ST-4,47637,CO-8,CA-11,35439,4262.894,89411.30067,TA-3
252,17962,62245.97,ST-1B,11052,CO-0,CA-6,48912,22381.832,89131.89843,TA-1
253,36190,31672.8174,ST-12,813,CO-8,CA-E,39803,7299.614,47725.96323,TA-0
254,34813,58300.0574,ST-F,40375,CO-9,CA-3,42861,3492.077,30082.83661,TA-4
255,26713,62847.8737,ST-14,32347,CO-6,CA-B,52884,22121.444,72892.58112,TA-3
256,3718,44678.4479,ST-23,40049,CO-C,CA-10,45422,13262.522,62728.10346,TA-3
257,39073,49810.076,ST-12,34227,CO-1,CA-7,52679,14469.566,84204.39444,TA-4
258,19528,30552.9905,ST-26,18329,CO-0,CA-18,24626,10061.928,55260.46053,TA-2
259,23751,63588.0114,ST-4,32483,CO-9,CA-F,49632,6338.442,11374.9053,TA-2
260,35114,62027.3845,ST-20,3000,CO-A,CA-C,44160,7968.341,3534.66171,TA-1
261,1615,40835.1791,ST-24,21649,CO-3,CA-E,43460,7991.451,2754.78556,TA-1
262,33077,47842.6278,ST-9,31827,CO-A,CA-10,17417,22715.887,84717.57184,TA-2
263,11874,53195.1369,ST-1B,15438,CO-D,CA-17,41711,15173.918,76545.99198,TA-0
264,3345,50694.4595,ST-25,28549,CO-1,CA-E,56877,23955.947,4421.55885,TA-1
265,17570,27009.1265,ST-3,2988,CO-0,CA-8,45036,17820.87,27557.84961,TA-0
266,26035,44094.3587,ST-19,40519,CO-1,CA-9,47663,20959.753,87623.47911,TA-4
267,25320,59266.6429,ST-A,14018,CO-7,CA-3,29842,20521.649,17780.63962,TA-1
268,30776,53737.7092,ST-24,19300,CO-3,CA-8,14071,19845.261,47005.28029,TA-3
269,5444,53296.7389,ST-5,10136,CO-7,CA-2,48833,7831.402,33471.70921,TA-0
270,17818,47390.7837,ST-6,13394,CO-7,CA-C,36319,8764.927,44561.69373,TA-0
271,29560,39455.2799,ST-1C,47752,CO-B,CA-11,34672,1357.389,49695.67552,TA-4
272,6929,36466.1373,ST-28,33585,CO-8,CA-1,36608,26235.068,40499.78787,TA-3
273,17780,41551.6645,ST-14,32732,CO-5,CA-10,46797,14537.717,36807.51613,TA-2
274,35155,42264.9002,ST-21,44207,CO-5,CA-9,39324,26230.058,46026.11079,TA-4
275,33071,47615.6724,ST-1F,29100,CO-1,CA-F,41909,18983.814,81135.12278,TA-4
276,28058,22818.6787,ST-E,39923,CO-9,CA-9,33602,12072.92,2946.19365,TA-3
277,34398,43380.578,ST-1B,15932,CO-1,CA-14,40625,22378.629,45725.5033,TA-2
278,11544,20405.4785,ST-5,40407,CO-0,CA-16,33574,12779.902,3997.93746,TA-2
279,37953,51726.5176,ST-F,35719,CO-2,CA-A,58082,13036.07,33028.47126,TA-3
280,4506,50441.798,ST-23,38762,CO-9,CA-A,46643,8713.216,58724.66292,TA-3
281,24413,32157.9055,ST-6,41603,CO-D,CA-A,54409,23352.963,27042.60629,TA-3
282,18389,39002.9454,ST-14,32347,CO-3,CA-10,41678,14145.02,27016.30226,TA-2
283,10838,37085.5905,ST-14,6508,CO-3,CA-12,23475,20386.493,55087.3846,TA-0
284,26133,39141.4515,ST-1A,4670,CO-D,CA-18,28853,10072.88,63015.76772,TA-0
285,35216,NA,ST-7,49941,CO-A,CA-F,37366,18995.756,56500.78351,TA-4
286,36988,56369.521,ST-22,1144,CO-D,CA-18,43914,6026.653,1381.83289,TA-1
287,28034,41185.836,ST-5,13757,CO-7,CA-A,42365,19941.169,4362.99662,TA-0
288,27837,35056.2501,ST-7,42532,CO-8,CA-E,31545,8670.674,30453.93984,TA-3
289,9832,42630.2097,ST-12,39447,CO-D,CA-19,28234,7157.173,55760.67551,TA-2
290,16843,54897.8258,ST-B,17799,CO-9,CA-B,40670,18876.12,13506.62682,TA-1
291,7574,34365.5893,ST-6,34575,CO-0,CA-8,38981,26776.691,29713.58085,TA-2
