id,convention,height,max,cat2,number,usage,region,length,code,power,item,weight,country,target
61,CO-E,NA,41573,CA-21,18766,US-22,RE-19,16909.9884,CO-6,63548.87,IT-8,10285,CO-16,137205.24506502954
62,CO-C,2070.51,55882,CA-12,21964,US-27,RE-1A,9111.9075,CO-6,45362.78,IT-3,48818,CO-2,107466.25570122071
63,CO-2E,5918.67,39053,CA-24,14305,US-B,RE-B,15099.9127,CO-E,53064.02,IT-2,8843,CO-A,111668.96065984044
64,CO-25,NA,65932,CA-22,13316,US-0,RE-C,15361.157,CO-3,48103.23,IT-1A,34742,CO-1C,97417.77905822745
65,CO-3,570.79,46584,CA-1F,18127,US-1F,RE-8,15261.3703,CO-6,38893.12,IT-16,1591,CO-1A,69358.58137907459
66,CO-5,1942.64,58769,CA-17,11610,US-1A,RE-10,11217.8856,CO-D,38430.35,IT-0,37680,CO-D,80911.89348676887
67,CO-11,6589.17,55085,CA-17,17884,US-15,RE-3,10670.4218,CO-E,43154.54,IT-10,47977,CO-8,96605.0261795271
68,CO-28,5739.55,49240,CA-F,18413,US-29,RE-11,11962.6051,CO-8,52760.75,IT-5,41493,CO-5,120935.6420642742
69,CO-C,1594.97,51225,CA-E,21704,US-20,RE-A,7756.1503,CO-10,26721.59,IT-A,54408,CO-E,56733.702257083736
70,CO-2E,NA,51673,CA-13,14618,US-3,RE-19,12449.1143,CO-8,8671.66,IT-18,8793,CO-4,-10760.165155491319
71,CO-2B,2003.55,50702,CA-20,9609,US-14,RE-6,12394.1463,CO-C,33279.87,IT-0,25871,CO-8,62095.76138206986
72,CO-20,5527.36,52014,CA-18,16662,US-18,RE-16,17153.8686,CO-F,56274.49,IT-14,43550,CO-1B,116680.4773023426
73,CO-15,1776.99,37881,CA-8,15665,US-1C,RE-19,7218.1842,CO-E,57864.13,IT-10,21280,CO-21,148894.6216930903
74,CO-1D,1732.51,64387,CA-1D,9192,US-25,RE-19,11746.8508,CO-E,31901.43,IT-4,31374,CO-21,60078.59385722959
75,CO-28,1420.0,48553,CA-9,23589,US-27,RE-2,13330.1026,CO-B,56717.08,IT-1,25760,CO-D,128116.18592964711
76,CO-22,NA,36406,CA-21,18086,US-5,RE-3,14362.0054,CO-C,63784.56,IT-13,46792,CO-5,146682.08798057167
77,CO-27,1124.5,74992,CA-13,23091,US-12,RE-6,10509.7363,CO-E,39975.89,IT-1,48110,CO-F,87736.01988544094
78,CO-22,1646.57,53539,CA-8,17629,US-12,RE-E,11333.0746,CO-0,27085.23,IT-1D,29111,CO-25,47070.85173983662
79,CO-8,NA,34789,CA-4,23702,US-C,RE-13,10744.2617,CO-2,33774.27,IT-C,31705,CO-8,68437.33005837127
80,CO-5,NA,40067,CA-10,18867,US-15,RE-17,19934.2893,CO-10,51063.98,IT-2,36205,CO-24,93184.30566013296
81,CO-1E,2557.06,50010,CA-1B,16669,US-3,RE-3,14758.7001,CO-6,37391.81,IT-8,48460,CO-23,68261.63534488344
82,CO-10,2844.77,65432,CA-21,11929,US-7,RE-A,13678.3039,CO-4,47999.31,IT-8,26997,CO-27,101610.22235287704
83,CO-1A,NA,66655,CA-4,27773,US-2B,RE-A,8668.4079,CO-10,42674.89,IT-17,42787,CO-6,100694.4297343424
84,CO-1A,4609.79,42526,CA-5,14986,US-1F,RE-0,15165.5048,CO-C,44025.38,IT-14,3618,CO-1B,84771.69333704206
85,CO-19,4423.56,41583,CA-10,28580,US-1E,RE-1C,12757.2496,CO-1,50642.03,IT-B,10933,CO-1D,111451.25978799896
86,CO-2D,NA,43039,CA-D,16822,US-12,RE-13,14172.0445,CO-6,46761.78,IT-15,31325,CO-1D,96732.17526471929
87,CO-2E,6304.12,67247,CA-1A,20184,US-25,RE-5,18954.8239,CO-0,63409.36,IT-0,46899,CO-B,132692.04528148408
88,CO-2E,999.71,13276,CA-17,12097,US-0,RE-1D,19810.6878,CO-9,60123.7,IT-7,16514,CO-24,119061.05485203234
89,CO-2D,2943.15,34230,CA-20,28602,US-E,RE-10,15817.0144,CO-2,38763.8,IT-19,12404,CO-5,67809.90510134184
90,CO-18,1105.94,40786,CA-1D,17975,US-3,RE-E,15016.6453,CO-9,53185.05,IT-1D,18717,CO-1F,112652.73923959796
91,CO-1A,3125.74,43775,CA-1C,15302,US-25,RE-F,14263.6269,CO-B,43515.77,IT-1B,24119,CO-7,86684.64105687784
92,CO-1E,NA,43479,CA-27,14797,US-1E,RE-8,14308.4199,CO-10,47970.9,IT-C,3010,CO-16,98818.1885745026
93,CO-7,6561.35,54593,CA-19,23950,US-25,RE-12,12838.5063,CO-A,25241.45,IT-1B,32915,CO-26,37501.835350322224
94,CO-14,713.06,48351,CA-14,16294,US-12,RE-18,14731.461,CO-6,33983.05,IT-1,45590,CO-1,58229.80686620622
95,CO-2A,NA,49204,CA-10,18409,US-23,RE-2,15056.2733,CO-A,50157.04,IT-18,42990,CO-F,104627.21525568634
96,CO-22,2471.69,47909,CA-1F,15987,US-14,RE-19,19982.955,CO-A,39540.06,IT-A,34371,CO-1,59169.384438957284
97,CO-D,178.42,50019,CA-1E,17283,US-12,RE-17,14065.676,CO-4,48965.89,IT-15,30256,CO-21,103448.62355082767
98,CO-10,2790.39,67679,CA-13,16641,US-21,RE-7,16138.9275,CO-A,31798.68,IT-1,35591,CO-9,47447.69526291481
99,CO-7,334.73,50234,CA-A,14337,US-A,RE-19,12180.3452,CO-F,54069.03,IT-4,33290,CO-9,123883.79831043303
100,CO-27,2785.27,48194,CA-1B,14212,US-23,RE-1A,11866.3323,CO-F,48376.36,IT-19,26091,CO-C,107869.47732815507
101,CO-9,3235.0,50126,CA-24,22861,US-C,RE-F,13213.7179,CO-C,39843.79,IT-1B,24737,CO-26,78952.922858922
102,CO-C,4347.84,58051,CA-C,19071,US-1D,RE-17,13747.3165,CO-7,46334.93,IT-19,25277,CO-5,96472.5681039795
103,CO-1B,NA,51109,CA-A,14841,US-19,RE-1A,14101.1463,CO-C,49261.49,IT-A,7613,CO-13,103369.68342299343
104,CO-29,4347.36,57389,CA-9,16813,US-24,RE-9,13944.177,CO-F,43768.33,IT-5,5924,CO-15,87671.55653368504
105,CO-14,2040.7,52765,CA-B,10759,US-10,RE-6,13625.5104,CO-8,37564.52,IT-6,2165,CO-26,70276.91297279192
106,CO-1,259.44,55320,CA-4,16293,US-4,RE-19,14019.7017,CO-1,43835.7,IT-4,29888,CO-21,88528.29467832606
107,CO-2E,1321.92,60196,CA-17,19614,US-1C,RE-E,17400.7233,CO-0,60363.98,IT-1B,53375,CO-27,128420.93246041077
108,CO-4,5471.71,51511,CA-1D,10036,US-28,RE-6,17324.7114,CO-7,55864.73,IT-16,8355,CO-1E,113386.63356339092
109,CO-11,NA,63348,CA-26,25585,US-A,RE-4,18895.6664,CO-6,58489.16,IT-E,39364,CO-12,118057.69927565877
110,CO-2E,NA,39431,CA-1A,23075,US-5,RE-8,12966.0535,CO-7,39964.68,IT-9,23726,CO-3,79982.99276738528
111,CO-D,463.06,42218,CA-1E,13934,US-23,RE-A,13100.6616,CO-5,37384.42,IT-10,21552,CO-16,71951.31593914326
112,CO-14,4507.74,61530,CA-0,14758,US-22,RE-C,6421.6077,CO-B,27295.51,IT-B,2460,CO-26,61257.859045222
113,CO-22,NA,52932,CA-6,12391,US-15,RE-C,9443.6439,CO-10,26263.81,IT-10,30103,CO-5,50084.79407456855
114,CO-10,NA,40723,CA-1D,18045,US-12,RE-7,8227.8112,CO-3,48274.93,IT-1,17969,CO-F,117811.80519699027
115,CO-1D,6759.07,46081,CA-1C,15350,US-18,RE-12,10794.0329,CO-10,53569.84,IT-16,45562,CO-1C,126721.48784397986
116,CO-11,2185.18,39806,CA-5,23185,US-29,RE-8,15948.7829,CO-2,44525.86,IT-B,50290,CO-1F,85915.17864862291
117,CO-2C,5298.68,54339,CA-12,19481,US-27,RE-B,18175.2691,CO-1,31382.3,IT-19,13428,CO-1F,39386.52946427144
118,CO-1E,6530.97,43101,CA-22,10619,US-1F,RE-10,12539.6001,CO-7,57436.3,IT-18,26340,CO-1F,132511.8485009304
119,CO-D,327.95,46036,CA-13,22766,US-18,RE-F,13800.9452,CO-4,39283.11,IT-17,2216,CO-1D,74797.97971053269
120,CO-29,NA,53082,CA-2,21431,US-2A,RE-1C,19268.2966,CO-C,29289.64,IT-12,22672,CO-27,30557.054167957634
121,CO-C,127.21,59427,CA-25,19213,US-0,RE-8,12550.9472,CO-A,33489.15,IT-1,16038,CO-1B,61925.88723558438
122,CO-A,865.32,40139,CA-27,18857,US-1F,RE-B,14544.2681,CO-7,56695.13,IT-E,41004,CO-1A,125159.70198886395
123,CO-29,4751.16,52806,CA-20,18187,US-11,RE-17,9686.653,CO-3,43420.66,IT-D,47183,CO-1E,100122.97036032606
124,CO-11,4527.24,47428,CA-1D,21236,US-C,RE-16,12038.2869,CO-7,47538.32,IT-19,36351,CO-21,105248.46707257126
125,CO-19,4768.23,54766,CA-E,15487,US-1D,RE-4,9212.8484,CO-6,34746.91,IT-19,29904,CO-8,75605.42803014284
126,CO-23,517.82,56260,CA-17,20810,US-20,RE-15,14370.9795,CO-A,38490.73,IT-6,40781,CO-10,72273.55291841262
127,CO-1D,2006.6,56669,CA-B,27356,US-0,RE-10,8850.6921,CO-E,52542.83,IT-13,49994,CO-13,129273.68946034608
128,CO-2B,3479.05,33951,CA-14,17360,US-21,RE-13,15997.0886,CO-7,51247.68,IT-0,41181,CO-1,105100.97817901327
129,CO-2B,2698.62,34188,CA-13,21072,US-14,RE-1A,16119.055,CO-9,38571.27,IT-14,13119,CO-1D,66400.19510769923
130,CO-8,6383.07,47172,CA-1A,29291,US-A,RE-E,15238.2827,CO-C,29674.68,IT-1E,46719,CO-17,44227.40683774705
131,CO-B,2799.63,45319,CA-5,10183,US-1C,RE-14,12451.2316,CO-6,54115.94,IT-9,53467,CO-8,123921.38865618165
132,CO-B,6507.23,43530,CA-1A,16022,US-E,RE-A,11994.1726,CO-7,48417.46,IT-1,12292,CO-20,107189.14949240386
133,CO-5,6817.49,57924,CA-22,14476,US-1C,RE-0,10238.1855,CO-2,35569.36,IT-1E,45772,CO-5,75522.1391270469
134,CO-3,NA,41607,CA-15,21160,US-6,RE-6,16782.3244,CO-C,30783.47,IT-6,15252,CO-14,41745.254669217575
135,CO-2,4148.31,37819,CA-26,24397,US-12,RE-14,15541.7962,CO-C,41663.67,IT-1,13096,CO-11,77137.95893388159
136,CO-7,317.2,59178,CA-25,25964,US-22,RE-5,12504.6963,CO-10,40026.29,IT-15,45768,CO-0,82208.09293882603
137,CO-29,6882.65,79160,CA-1F,26374,US-20,RE-C,14317.3069,CO-0,30923.43,IT-F,8562,CO-0,49030.55837257578
138,CO-13,6294.95,47008,CA-11,17237,US-10,RE-1D,8079.6367,CO-10,42720.66,IT-B,13028,CO-25,101852.97436154085
139,CO-29,4063.4,40004,CA-4,16615,US-14,RE-8,8984.5823,CO-9,40039.03,IT-3,20459,CO-12,91545.38998933106
140,CO-22,6815.45,43243,CA-21,18736,US-6,RE-1,18168.9477,CO-1,42041.19,IT-11,27779,CO-1F,71340.73541558259
141,CO-12,2880.28,35969,CA-19,18919,US-26,RE-1,18589.0116,CO-0,55949.03,IT-13,4679,CO-C,109772.91498403443
142,CO-8,5257.0,48833,CA-D,23889,US-2A,RE-D,8734.5868,CO-0,54031.66,IT-15,22217,CO-24,133324.81826741487
143,CO-2,1548.98,48087,CA-1C,26425,US-26,RE-A,11360.0098,CO-C,54292.74,IT-4,34362,CO-23,126908.97544357195
144,CO-1,6684.88,49409,CA-14,19470,US-25,RE-18,8864.6581,CO-C,43248.77,IT-12,51241,CO-12,102022.31671140133
145,CO-2E,4544.81,47952,CA-5,11044,US-F,RE-E,17092.8999,CO-4,62036.66,IT-18,10699,CO-27,132259.11515942548
146,CO-26,NA,41717,CA-17,17695,US-D,RE-1C,14896.2631,CO-2,50566.81,IT-11,8509,CO-17,104927.67774732196
147,CO-10,6788.7,39187,CA-6,27236,US-17,RE-5,17399.5368,CO-5,55546.22,IT-A,26206,CO-1D,113056.75893145565
148,CO-F,2039.22,48205,CA-2,13859,US-7,RE-12,14197.7262,CO-1,52267.84,IT-A,11499,CO-24,112055.09237114627
149,CO-22,2263.9,54915,CA-1B,18218,US-18,RE-7,13322.1233,CO-7,47707.87,IT-8,14362,CO-13,101329.04824030455
150,CO-2A,641.57,29639,CA-6,16186,US-A,RE-F,15179.5237,CO-9,43951.48,IT-15,48848,CO-10,86322.69019025411
151,CO-8,6327.97,47878,CA-B,15948,US-7,RE-18,12707.5798,CO-D,48359.97,IT-10,35773,CO-9,105740.98703018435
152,CO-1,4122.88,45899,CA-17,12146,US-10,RE-18,13168.043,CO-B,38730.73,IT-15,25260,CO-1C,75839.87593289927
153,CO-27,3010.89,53526,CA-5,12026,US-1F,RE-15,15902.4288,CO-9,60261.1,IT-7,53564,CO-19,132310.5840440972
154,CO-0,424.15,40380,CA-4,16835,US-14,RE-E,16631.6612,CO-7,59729.86,IT-8,30392,CO-1C,127694.39084217901
155,CO-2E,1616.47,55249,CA-B,14872,US-1D,RE-18,17725.93,CO-2,59698.06,IT-16,9184,CO-27,123491.74529663652
156,CO-2F,6759.92,46946,CA-17,14227,US-4,RE-E,13475.9615,CO-7,29147.14,IT-B,19159,CO-1B,46648.13310098403
157,CO-0,2498.11,66679,CA-8,19124,US-1F,RE-19,17895.018,CO-6,41648.74,IT-16,31731,CO-B,71157.08298661854
158,CO-1,1454.84,47841,CA-A,13872,US-1,RE-1,12405.7983,CO-E,42639.66,IT-15,4522,CO-1B,88799.26197670515
159,CO-10,NA,48811,CA-1D,21046,US-7,RE-5,12649.4774,CO-5,26167.59,IT-9,23969,CO-11,40454.94502987718
160,CO-6,5045.87,35866,CA-19,24032,US-15,RE-3,13027.1142,CO-6,51090.63,IT-3,39361,CO-16,112962.1502834374
161,CO-1A,1737.17,54041,CA-D,17221,US-8,RE-16,10037.85,CO-9,44073.31,IT-12,11246,CO-7,100094.08097082019
162,CO-23,3330.94,31880,CA-1B,19745,US-F,RE-16,9983.0284,CO-0,26618.14,IT-1,12054,CO-1D,49107.414817626726
163,CO-24,169.13,49442,CA-1C,16619,US-11,RE-0,13398.5148,CO-2,46360.79,IT-1D,36859,CO-E,97947.9533131841
164,CO-19,948.07,61572,CA-1E,21025,US-13,RE-E,17931.4927,CO-4,45484.98,IT-A,14877,CO-26,81497.35086669966
165,CO-2C,NA,35706,CA-18,23048,US-2A,RE-4,20128.5422,CO-6,39536.61,IT-17,10149,CO-8,57454.183344020516
166,CO-1A,1876.42,45397,CA-A,26412,US-1B,RE-3,8697.751,CO-E,35498.83,IT-14,10469,CO-22,78829.37184087832
167,CO-2E,266.07,55478,CA-F,21753,US-20,RE-8,14232.8072,CO-E,42689.08,IT-17,44413,CO-14,85105.59459386278
168,CO-18,5893.38,43601,CA-0,9682,US-20,RE-1B,5205.6716,CO-A,45745.49,IT-5,24657,CO-20,119205.85485579196
169,CO-16,3542.47,53740,CA-3,10116,US-17,RE-B,11558.7896,CO-C,70764.41,IT-18,28277,CO-15,174446.83966979562
170,CO-15,4473.06,56267,CA-17,21100,US-3,RE-9,15871.4861,CO-A,53373.49,IT-3,12393,CO-1C,110480.42712858062
171,CO-25,5395.02,36989,CA-C,22525,US-D,RE-4,13866.7898,CO-F,31626.27,IT-E,10168,CO-10,52459.502520224734
172,CO-1F,4663.45,47457,CA-10,28159,US-21,RE-12,8322.5166,CO-A,49117.72,IT-6,44884,CO-0,120601.80922380822
173,CO-14,3407.12,33866,CA-17,22337,US-2A,RE-16,13312.4216,CO-C,38156.94,IT-1D,30449,CO-2,73926.22872354579
174,CO-A,5570.07,50513,CA-1F,15235,US-27,RE-7,15980.2924,CO-2,64227.48,IT-E,4654,CO-13,141656.8059289603
175,CO-12,491.83,52197,CA-A,25946,US-E,RE-16,14780.8937,CO-A,32953.32,IT-11,18408,CO-8,54009.299931930705
176,CO-21,5680.97,49826,CA-1C,7349,US-18,RE-5,12673.8386,CO-6,27545.25,IT-A,44416,CO-12,45108.50466591947
177,CO-2E,5104.16,37962,CA-17,24365,US-2B,RE-5,10089.304,CO-3,29364.82,IT-10,54766,CO-A,57991.20269236888
178,CO-12,6214.51,48033,CA-24,20609,US-F,RE-13,10514.4339,CO-5,39306.31,IT-16,26242,CO-1,85157.46037700973
179,CO-28,3242.73,30100,CA-18,15453,US-1C,RE-1D,10125.9866,CO-0,44140.34,IT-A,22227,CO-1A,100330.56890299385
180,CO-8,1957.49,28629,CA-F,21357,US-1B,RE-A,14007.0964,CO-5,44223.26,IT-0,12023,CO-23,89045.08640240486
181,CO-2,2087.65,42075,CA-13,10338,US-E,RE-13,9886.3694,CO-D,40103.15,IT-D,27519,CO-15,89321.03583667797
182,CO-9,NA,51677,CA-17,25018,US-14,RE-A,11102.4821,CO-B,45847.29,IT-11,38667,CO-B,103012.30899782598
183,CO-7,3804.77,45669,CA-E,19756,US-22,RE-15,7806.3292,CO-F,47265.92,IT-F,49550,CO-13,116720.94601077173
184,CO-10,4544.52,49836,CA-F,11397,US-E,RE-F,16806.7712,CO-E,49776.27,IT-0,28238,CO-1C,97928.08395370185
185,CO-29,4570.49,52186,CA-12,19698,US-0,RE-1D,13363.085,CO-3,42931.71,IT-A,29773,CO-1C,87755.81048518335
186,CO-1C,4262.21,43796,CA-F,15104,US-3,RE-A,8634.8575,CO-D,45655.16,IT-3,55037,CO-C,109804.34327072647
187,CO-F,5113.02,49969,CA-E,24922,US-4,RE-1,21268.5578,CO-8,52094.26,IT-5,42571,CO-4,92782.63306890495
188,CO-2F,NA,46880,CA-6,13428,US-29,RE-1,13148.9065,CO-5,41165.08,IT-14,46761,CO-A,83776.49067595413
189,CO-17,6327.35,40377,CA-1B,16768,US-22,RE-1A,9974.9307,CO-B,52163.1,IT-1A,3408,CO-2,123788.74676243437
190,CO-18,2455.19,39355,CA-1C,18435,US-26,RE-4,14061.6093,CO-5,76952.41,IT-17,2360,CO-1,184472.56428071318
191,CO-D,NA,36667,CA-C,27505,US-22,RE-E,7442.8992,CO-0,52542.36,IT-16,48131,CO-9,133178.6582174865
192,CO-B,4419.15,39112,CA-4,17340,US-11,RE-9,17235.5512,CO-7,42710.33,IT-A,34371,CO-1D,76268.9435653413
193,CO-2B,2587.81,43570,CA-C,20255,US-18,RE-4,13932.5428,CO-D,56546.59,IT-19,798,CO-1D,124974.04656543623
194,CO-2,NA,63354,CA-27,19460,US-1,RE-17,14492.3005,CO-6,36946.92,IT-0,8823,CO-E,66188.32239304113
195,CO-1A,NA,40532,CA-25,27900,US-2B,RE-3,13183.9836,CO-1,44054.11,IT-5,36780,CO-9,91800.85608740909
196,CO-1D,4973.42,57769,CA-F,12934,US-20,RE-8,15841.4264,CO-5,46716.99,IT-1D,48324,CO-14,92558.97297183624
197,CO-11,6449.48,41560,CA-F,16508,US-21,RE-A,12908.3113,CO-7,34652.55,IT-1,49984,CO-26,65473.73251020794
198,CO-19,5204.43,40541,CA-9,17469,US-1,RE-12,7001.8813,CO-7,34005.38,IT-1,33647,CO-24,79807.80358140824
199,CO-1B,2138.32,39303,CA-14,26136,US-15,RE-12,13505.3175,CO-D,47993.94,IT-17,31706,CO-1A,102256.45998835746
200,CO-2E,4123.74,61013,CA-14,15902,US-26,RE-10,13421.4126,CO-D,40439.66,IT-8,17915,CO-2,79863.1644310683
