id,zip,bedrooms,bathrooms,garage,land,sqft,price
142,60033,1,1,0,2.603,691,173898
143,60005,1,1,0,1.797,735,185223
144,60027,3,1,1,3.119,1737,394906
145,60039,2,1,0,3.156,1249,254824
146,60015,2,1,0,3.036,1179,249285
147,60025,8,6,3,1.527,5177,1080605
148,60040,7,1,2,3.936,3689,783555
149,60010,4,1,1,2.97,2155,452213
150,60023,8,4,2,1.629,4812,1000354
151,60042,8,5,2,2.793,4985,1027854
152,60020,9,4,3,2.663,5318,1100817
153,60009,2,1,0,1.352,1235,240501
154,60030,2,1,0,2.11,1195,266312
155,60026,5,2,2,4.105,2908,615220
156,60002,8,5,3,2.62,4976,1049001
157,60039,1,1,0,4.53,707,153294
158,60004,4,1,1,4.068,2161,456089
159,60048,6,1,2,4.785,3249,683852
160,60043,6,4,2,2.181,3757,777605
161,60049,2,1,0,1.692,1166,245353
162,60011,1,1,0,3.768,675,154951
163,60001,5,2,2,2.799,2942,622951
164,60041,2,1,0,3.597,1237,278848
165,60049,7,1,2,2.186,3742,783023
166,60022,8,6,2,4.22,5198,1104604
167,60028,7,2,2,1.253,3921,802866
168,60045,6,2,2,0.639,3420,708412
169,60010,3,1,1,1.652,1750,364623
170,60012,9,5,3,3.904,5538,1165129
171,60010,6,2,2,0.628,3361,691703
172,60030,4,2,1,3.455,2369,517837
173,60025,7,3,2,1.044,4114,855590
174,60036,1,1,0,2.297,702,178699
175,60036,3,1,1,2.306,1652,378744
176,60046,4,1,1,2.237,2230,493887
177,60003,5,3,2,4.887,3052,649427
178,60015,3,1,1,2.79,1747,371655
179,60004,3,1,1,4.597,1717,369934
180,60023,7,5,2,1.765,4527,944034
181,60010,7,5,2,0.394,4476,913533
182,60023,8,5,2,4.483,4953,1042824
183,60010,3,1,1,0.448,1668,342203
184,60019,9,4,3,0.685,5339,1093815
185,60016,1,1,0,3.392,734,158955
186,60049,5,1,2,1.717,2683,568878
187,60023,1,1,0,3.487,688,164844
188,60020,9,2,3,4.638,4918,1030692
189,60027,3,1,1,4.158,1695,391701
190,60044,5,1,2,1.689,2733,571410
191,60031,1,1,0,4.29,740,170605
192,60007,3,1,1,1.639,1740,356142
193,60033,7,1,2,0.695,3652,776558
194,60022,8,6,3,4.613,5182,1113369
195,60043,9,7,3,2.12,5933,1222500
196,60012,4,1,1,3.232,2151,464369
197,60040,9,3,2,1.772,5134,1061735
198,60009,8,4,2,2.642,4800,979951
199,60024,9,6,3,3.711,5723,1219685
200,60017,1,1,0,3.507,698,141229
201,60047,1,1,0,3.562,651,140624
202,60013,2,1,0,1.529,1207,265821
203,60047,8,4,3,2.059,4795,991909
204,60032,5,1,2,3.916,2735,576967
205,60041,7,5,2,1.304,4523,944583
206,60002,8,6,3,4.66,5213,1106601
207,60042,6,4,2,3.375,3841,801964
208,60018,1,1,0,0.773,669,148528
209,60034,4,2,1,3.289,2441,515558
210,60010,6,4,2,4.777,3802,800648
211,60039,5,2,2,4.082,2939,617454
212,60048,3,1,1,2.202,1733,357737
213,60007,5,3,2,0.746,3135,640677
214,60020,6,3,2,0.26,3584,732002
215,60016,2,1,0,2.492,1233,254255
216,60030,9,7,3,4.541,5919,1253267
217,60009,2,1,0,1.362,1237,240951
218,60028,7,4,2,2.51,4348,894551
219,60004,5,2,2,0.861,2856,589054
220,60033,5,1,2,2.871,2742,605438
221,60016,2,1,0,3.429,1216,255540
222,60007,9,7,2,3.845,5941,1217372
223,60022,6,3,2,0.383,3562,758219
224,60034,5,3,2,1.516,3137,655893
225,60011,2,1,0,2.274,1197,251881
226,60017,7,3,2,3.86,4105,844394
227,60021,7,4,2,2.279,4322,888352
228,60016,6,3,2,0.764,3620,743015
229,60037,4,1,1,1.609,2170,464347
230,60032,2,1,0,2.961,1157,236592
231,60022,8,5,2,0.447,4989,1043939
232,60022,5,1,2,4.333,2685,602569
233,60043,2,1,0,0.398,1176,232490
234,60023,9,2,2,2.691,4905,1024264
235,60047,3,1,1,0.356,1651,334594
236,60040,7,5,2,1.064,4507,932795
237,60048,7,3,2,4.225,4138,858852
238,60047,4,2,1,0.92,2403,487814
239,60027,8,4,3,3.278,4811,1030501
240,60041,6,1,2,2.145,3185,681188
241,60017,9,4,2,4.478,5287,1083884
242,60035,8,2,3,1.206,4429,915672
243,60022,2,1,0,2.733,1187,274969
244,60019,6,1,2,1.342,3154,650100
245,60038,1,1,0,3.318,656,141056
246,60003,3,1,1,4.898,1701,369282
247,60000,4,1,1,2.095,2188,445655
248,60044,7,5,2,2.542,4511,931275
249,60016,1,1,0,4.175,684,152870
250,60038,1,1,0,1.407,697,139701
251,60030,2,1,0,4.843,1238,288577
252,60027,8,3,3,0.263,4609,975026
253,60035,1,1,0,2.253,692,143507
254,60036,2,1,0,4.764,1178,286234
255,60015,5,2,2,0.318,2892,598295
256,60008,2,1,0,2.828,1207,246611
257,60028,4,2,1,1.335,2432,495476
258,60032,7,2,2,3.622,3896,807697
259,60038,2,1,0,4.759,1209,258861
260,60009,3,1,1,4.483,1738,366756
261,60024,7,5,2,3.609,4457,955975
262,60040,5,1,2,4.852,2673,584935
263,60001,3,1,1,0.478,1700,352946
264,60005,3,1,1,2.309,1689,388583
265,60006,6,3,2,3.855,3555,745969
266,60025,3,1,1,1.604,1729,371390
267,60014,5,2,2,3.297,2923,625818
268,60005,4,1,1,0.931,2197,483293
269,60033,7,1,2,0.464,3709,786803
270,60035,9,6,2,2.163,5694,1163457
271,60028,1,1,0,4.168,742,161641
272,60029,6,1,2,0.793,3165,666128
273,60028,9,2,3,4.07,4933,1029351
274,60039,2,1,0,0.8,1207,234644
275,60025,6,1,2,4.493,3219,693835
276,60048,2,1,0,4.136,1203,251407
277,60030,7,3,2,4.58,4061,871862
278,60020,6,1,2,3.412,3153,661562
279,60041,9,2,2,2.643,4856,1017878
280,60047,3,1,1,1.891,1750,362069
281,60045,1,1,0,1.108,724,151557
282,60042,7,2,2,1.274,3931,809459
283,60034,9,6,3,1.754,5743,1188283
284,60034,2,1,0,3.696,1238,266993
285,60012,4,2,1,4.616,2427,526489
286,60029,5,1,2,4.071,2706,590718
287,60044,3,1,1,2.086,1696,355995
288,60037,6,1,2,1.855,3220,685577
289,60026,2,1,0,1.101,1166,231800
290,60026,8,3,3,1.202,4571,943305
291,60023,2,1,0,1.432,1226,262169
292,60034,4,2,1,2.778,2353,495403
293,60017,9,2,2,1.698,4864,985384
294,60017,8,5,2,0.712,4973,1002254
295,60008,7,1,2,2.692,3673,759131
296,60036,8,2,2,0.493,4450,939279
297,60021,2,1,0,2.245,1213,246382
298,60025,6,1,2,3.581,3203,686075
299,60040,7,4,2,2.2,4268,890675
300,60005,6,4,2,0.981,3821,818343
301,60007,3,1,1,3.967,1728,365382
302,60022,2,1,0,1.51,1177,266854
303,60031,5,1,2,3.962,2671,575165
304,60002,3,1,1,0.576,1680,359581
305,60007,7,1,2,1.14,3715,758647
306,60018,6,1,2,4.115,3175,686438
307,60030,3,1,1,2.817,1652,371247
308,60013,3,1,1,3.88,1656,377376
309,60040,2,1,0,3.313,1217,266040
310,60027,1,1,0,1.07,693,165861
311,60039,3,1,1,3.757,1735,365029
312,60011,6,3,2,3.698,3606,760801
313,60014,1,1,0,3.02,743,168433
314,60036,6,2,2,1.906,3358,727944
315,60016,4,1,1,0.886,2169,443425
316,60019,3,1,1,1.464,1677,345310
317,60020,9,6,2,2.304,5678,1161022
318,60016,7,2,2,0.466,3920,801525
319,60004,5,3,2,3.796,3087,649929
320,60028,1,1,0,2.498,662,137291
321,60005,4,1,1,3.65,2174,492288
322,60015,7,4,2,0.698,4265,874795
323,60037,3,1,1,4.994,1730,393272
324,60022,2,1,0,1.077,1175,264289
325,60034,8,5,3,1.723,4968,1033128
326,60033,1,1,0,4.294,704,184953
327,60045,4,2,1,0.668,2411,496757
328,60046,7,4,2,3.483,4324,928917
329,60041,3,1,1,1.763,1731,378478
330,60010,4,1,1,2.326,2238,465593
331,60008,4,2,1,2.449,2379,489116
332,60046,7,3,2,0.44,4107,870302
333,60035,3,1,1,3.218,1712,362332
334,60030,1,1,0,0.525,714,162187
335,60019,2,1,0,4.943,1179,253105
336,60000,6,2,2,1.03,3366,685930
337,60019,9,3,2,3.338,5088,1046880
338,60002,1,1,0,0.616,702,154181
339,60016,6,2,2,0.413,3382,693660
340,60025,3,1,1,2.993,1717,375935
341,60005,6,4,2,4.705,3807,834163
342,60037,7,5,2,0.533,4527,940367
343,60010,7,4,2,0.257,4280,873648
344,60034,8,6,3,0.616,5204,1074793
345,60023,4,1,1,0.952,2232,470969
346,60043,2,1,0,4.439,1244,266295
347,60018,3,1,1,3.819,1697,379358
348,60031,3,1,1,3.429,1669,362100
349,60034,9,5,2,1.63,5548,1138663
350,60027,3,1,1,3.961,1735,398716
351,60034,5,2,2,0.37,2899,602563
352,60044,4,2,1,0.682,2427,495175
353,60016,2,1,0,1.327,1238,249430
354,60016,4,1,1,4.986,2207,471525
355,60004,5,3,2,4.684,3072,651369
356,60029,2,1,0,0.696,1179,248443
357,60044,2,1,0,1.195,1216,245540
358,60042,7,2,2,2.733,3934,817354
359,60006,4,2,1,3.644,2363,496514
360,60036,6,4,2,0.955,3814,814389
361,60031,4,1,1,1.524,2220,462775
362,60035,7,3,2,2.459,4105,847137
363,60025,7,4,2,1.567,4348,905005
364,60023,5,3,2,3.546,3121,671739
365,60006,6,1,2,2.837,3225,674879
366,60033,4,2,1,4.314,2375,529253
367,60047,7,1,2,3.509,3689,767959
368,60034,9,4,3,4.702,5301,1114623
369,60005,7,4,2,2.245,4294,919263
370,60017,3,1,1,3.409,1719,354939
371,60033,9,5,3,1.826,5458,1153413
372,60025,2,1,0,4.872,1197,271330
373,60049,7,2,2,3.058,3864,811783
374,60039,1,1,0,1.223,743,143959
375,60015,9,7,2,4.071,5897,1218060
376,60005,1,1,0,2.712,677,178198
377,60039,3,1,1,2.813,1701,353509
378,60003,7,5,2,2.489,4525,932037
379,60017,6,1,2,1.279,3168,644089
380,60049,5,3,2,0.808,3113,650333
381,60026,1,1,0,3.26,732,155795
382,60021,2,1,0,3.59,1219,254307
383,60036,4,2,1,3.398,2366,527004
384,60049,5,1,2,4.473,2686,583258
385,60005,9,6,3,4.592,5733,1228798
386,60003,6,1,2,0.898,3208,660682
387,60018,5,3,2,4.616,3055,664943
388,60010,9,3,2,2.07,5075,1041713
389,60034,3,1,1,3.858,1744,379003
390,60009,7,1,2,1.406,3687,751171
391,60024,6,4,2,1.544,3787,811650
392,60037,1,1,0,0.293,710,155767
393,60035,3,1,1,4.089,1652,354687
394,60018,1,1,0,1.634,705,160033
395,60036,4,1,1,2.037,2246,496199
396,60001,3,1,1,0.448,1652,343196
397,60019,2,1,0,0.994,1180,233560
398,60035,6,4,2,3.089,3782,785687
399,60006,8,4,2,4.581,4849,1008399
400,60021,6,1,2,0.926,3239,664987
401,60002,7,2,2,2.697,3949,833986
402,60015,7,3,2,3.386,4136,862435
403,60033,9,6,2,2.516,5730,1201263
404,60004,2,1,0,0.536,1162,228629
405,60013,9,3,3,4.421,5112,1091281
406,60014,6,4,2,3.09,3806,801383
407,60000,2,1,0,2.128,1177,233620
408,60013,4,2,1,2.447,2400,519011
409,60009,7,1,2,2.609,3660,751786
410,60004,5,2,2,4.256,2947,624229
411,60048,2,1,0,4.611,1155,244182
412,60036,4,2,1,2.168,2371,521854
413,60007,6,4,2,1.507,3772,771882
414,60008,8,6,2,4.468,5183,1070011
415,60003,3,1,1,4.022,1678,360302
416,60038,7,3,2,3.782,4086,849376
417,60029,3,1,1,3.282,1721,379773
418,60031,2,1,0,1.427,1170,242290
419,60015,6,1,2,0.669,3230,667650
420,60046,7,3,2,2.522,4077,874712
421,60014,4,2,1,3.412,2388,509393
422,60013,8,3,2,3.771,4613,978231
423,60036,8,4,3,4.333,4836,1045679
424,60024,7,5,2,0.852,4549,960590
425,60008,8,5,2,2.424,5023,1027791
426,60003,3,1,1,4.694,1739,375862
427,60033,4,2,1,2.981,2372,521988
428,60019,5,1,2,1.534,2716,563460
429,60023,4,2,1,2.108,2397,509749
430,60046,9,3,2,4.963,5138,1099117
431,60016,8,2,3,3.112,4418,924355
432,60036,5,1,2,1.398,2686,591004
433,60029,2,1,0,2.233,1188,257928
434,60012,3,1,1,4.472,1704,381169
435,60003,4,1,1,0.791,2238,456147
436,60037,9,4,2,3.852,5340,1119562
437,60041,1,1,0,2.427,665,158598
438,60043,3,1,1,1.549,1677,348445
439,60009,9,3,3,0.857,5142,1049426
440,60001,8,4,3,4.211,4841,1019811
441,60036,3,1,1,0.399,1662,371209
442,60047,1,1,0,0.726,675,131244
443,60002,5,3,2,0.481,3113,655706
444,60035,1,1,0,3.843,732,159457
445,60037,8,3,3,2.701,4619,979607
446,60023,1,1,0,3.076,693,163789
447,60019,7,3,2,3.455,4076,845065
448,60038,2,1,0,2.546,1218,249596
449,60012,9,7,2,0.965,5892,1211234
450,60019,9,3,2,1.034,5124,1042560
451,60025,8,2,2,2.711,4445,930125
452,60035,1,1,0,4.853,710,160107
453,60023,4,1,1,1.836,2174,463789
454,60048,5,2,2,2.503,2875,597642
455,60020,2,1,0,0.67,1160,229252
456,60048,5,1,2,3.015,2747,574602
457,60022,4,2,1,4.489,2422,540749
458,60046,3,1,1,1.928,1746,395542
459,60045,9,2,3,1.992,4916,1024377
460,60003,9,6,3,2.036,5692,1173172
461,60027,3,1,1,0.967,1735,383746
462,60006,6,4,2,0.786,3771,773824
463,60031,3,1,1,3.57,1665,362005
464,60029,2,1,0,2.013,1195,258228
465,60016,3,1,1,3.757,1736,371180
466,60035,9,7,2,3.771,5944,1221497
467,60011,3,1,1,4.869,1719,379256
468,60030,8,3,3,4.537,4633,996047
469,60048,4,1,1,2.603,2200,453142
470,60019,4,2,1,1.753,2381,487555
471,60027,3,1,1,1.718,1676,375701
472,60032,2,1,0,3.41,1232,253837
473,60012,8,5,3,1.43,4981,1041359
474,60000,9,7,2,1.415,5887,1192055
475,60038,6,3,2,4.459,3567,748961
476,60044,9,4,3,0.421,5345,1097470
477,60015,7,5,2,0.613,4550,931370
478,60016,4,1,1,2.42,2241,465495
479,60024,3,1,1,4.036,1740,404710
480,60010,4,1,1,0.808,2205,451403
481,60043,9,4,2,4.376,5280,1093180
482,60004,9,6,3,2.987,5675,1173484
483,60029,3,1,1,3.668,1737,384903
484,60010,3,1,1,0.783,1698,349878
485,60028,7,4,2,0.984,4260,869321
486,60041,6,2,2,2.232,3441,732823
487,60033,4,2,1,3.85,2374,526733
488,60007,9,7,2,2.114,5916,1203717
489,60040,9,7,3,2.867,5910,1232410
490,60026,6,3,2,3.756,3601,752075
491,60040,8,3,2,3.365,4646,972100
492,60024,2,1,0,4.315,1187,285505
493,60038,8,4,2,2.621,4757,977771
494,60000,3,1,1,2.617,1747,360065
495,60035,1,1,0,0.348,689,133382
496,60028,2,1,0,4.085,1180,248826
497,60008,4,2,1,4.51,2448,513221
498,60026,6,4,2,4.471,3769,789250
499,60037,2,1,0,3.507,1174,264637
500,60018,8,6,2,4.423,5200,1092978
501,60041,5,2,2,2.919,2940,636058
502,60028,7,1,2,3.658,3667,764091
503,60019,9,4,2,1.857,5294,1080675
504,60034,2,1,0,4.327,1229,268348
505,60040,5,1,2,1.448,2739,581115
506,60008,4,2,1,3.606,2430,505101
507,60038,6,3,2,0.592,3553,726826
508,60030,3,1,1,0.914,1662,363732
509,60028,4,2,1,3.491,2388,497456
510,60034,3,1,1,3.486,1720,372343
511,60017,8,2,2,2.481,4411,898699
512,60033,5,3,2,3.857,3144,690768
513,60003,9,4,2,1.554,5316,1085562
514,60017,1,1,0,3.471,704,142249
515,60034,6,3,2,0.482,3616,746523
516,60007,5,2,2,0.604,2930,598967
517,60019,7,4,2,0.356,4293,872970
518,60026,5,3,2,0.93,3060,629745
519,60032,2,1,0,2.522,1205,243997
520,60038,1,1,0,4.563,671,150281
521,60021,9,6,2,0.415,5728,1160232
522,60039,6,4,2,2.811,3819,787099
523,60041,2,1,0,4.655,1203,277338
524,60049,2,1,0,3.592,1246,270853
525,60030,8,6,2,4.01,5202,1097212
526,60038,2,1,0,4.216,1180,250346
527,60048,1,1,0,3.859,728,155022
528,60031,7,1,2,1.582,3671,763265
529,60029,4,1,1,0.671,2176,457718
530,60042,8,4,3,1.465,4804,995014
531,60032,4,1,1,1.734,2175,444057
532,60018,9,3,3,4.136,5149,1091343
533,60036,2,1,0,4.241,1173,282619
534,60001,3,1,1,0.565,1740,361381
535,60006,1,1,0,4.014,735,162764
536,60045,9,3,3,2.61,5122,1068667
537,60016,1,1,0,1.851,690,142450
538,60034,3,1,1,4.316,1703,373093
539,60044,8,2,2,1.818,4419,909255
540,60020,8,3,2,0.461,4561,928407
541,60017,6,4,2,4.371,3777,781349
542,60027,5,1,2,2.501,2664,587216
543,60025,2,1,0,0.28,1150,238970
544,60013,4,1,1,1.419,2243,482471
545,60034,3,1,1,4.987,1656,367048
546,60033,9,4,2,3.271,5342,1127438
547,60047,1,1,0,3.541,654,141119
548,60013,7,5,2,1.13,4504,943226
549,60016,6,1,2,2.556,3194,666775
550,60018,6,1,2,2.787,3198,684398
551,60008,1,1,0,2.118,730,147661
552,60025,5,1,2,0.256,2668,562450
553,60023,9,7,3,2.091,5902,1230664
554,60027,9,6,3,3.389,5716,1212056
555,60038,1,1,0,3.086,699,148496
556,60017,2,1,0,4.438,1206,247484
557,60048,1,1,0,3.982,749,159837
558,60024,3,1,1,0.541,1711,381435
559,60031,3,1,1,2.852,1716,368615
560,60049,1,1,0,2.21,676,149943
561,60005,6,3,2,4.352,3601,791198
562,60002,2,1,0,0.851,1224,259756
563,60011,3,1,1,3.31,1710,369661
564,60034,2,1,0,2.157,1192,250098
565,60042,8,2,2,4.491,4354,910144
566,60011,2,1,0,4.398,1163,255701
567,60012,6,1,2,1.774,3152,667279
568,60018,8,2,2,0.795,4448,924438
569,60006,6,3,2,2.644,3634,755714
570,60002,7,3,2,3.824,4072,864221
571,60012,8,4,3,2.709,4844,1020354
572,60011,1,1,0,1.805,712,152536
573,60008,7,3,2,2.901,4144,854376
574,60028,4,1,1,0.857,2232,453086
575,60000,5,1,2,3.623,2686,562895
576,60048,3,1,1,2.209,1654,341972
577,60025,9,2,2,2.208,4938,1026210
578,60022,7,3,2,4.502,4116,889614
579,60010,2,1,0,2.217,1200,247448
580,60019,4,1,1,4.384,2232,470910
581,60019,6,4,2,4.836,3806,797970
582,60043,2,1,0,4.539,1233,264595
583,60029,4,2,1,2.602,2357,503573
584,60030,4,1,1,0.98,2212,474062
585,60007,8,3,2,3.913,4645,958512
586,60022,5,1,2,2.039,2665,587099
587,60028,2,1,0,4.915,1159,248776
588,60019,5,2,2,2.107,2922,607525
589,60030,6,4,2,1.463,3789,801877
590,60014,3,1,1,4.726,1674,373163
591,60035,7,1,2,2.862,3723,772752
592,60038,2,1,0,3.461,1199,250371
593,60014,9,5,3,0.804,5513,1141353
594,60028,7,4,2,1.094,4350,887871
595,60049,1,1,0,0.556,657,137873
596,60041,8,6,2,1.943,5214,1085978
597,60000,4,2,1,1.56,2403,485980
598,60032,1,1,0,0.96,731,141387
599,60020,9,4,2,4.793,5275,1092867
600,60047,4,1,1,3.403,2158,451229
601,60001,9,2,3,2.048,4937,1028196
602,60007,1,1,0,1.182,726,141057
603,60012,5,1,2,1.476,2681,571589
604,60044,5,1,2,1.722,2684,561775
605,60022,7,4,2,3.835,4254,913879
606,60023,8,2,2,1.451,4394,915864
607,60002,7,1,2,2.892,3688,782761
608,60045,2,1,0,4.599,1201,264412
609,60006,1,1,0,4.927,746,169529
610,60028,1,1,0,4.341,675,149106
611,60047,3,1,1,4.636,1731,371994
612,60026,7,2,2,3.103,3922,813010
613,60021,3,1,1,4.66,1738,373457
614,60004,3,1,1,0.307,1746,354284
615,60027,9,7,3,0.99,5910,1238861
616,60008,8,4,2,4.319,4773,987266
617,60004,1,1,0,4.633,707,158114
618,60025,5,3,2,4.855,3077,667245
619,60023,6,2,2,3.44,3379,722809
620,60035,8,4,2,3.955,4850,1003617
621,60013,1,1,0,1.833,736,173141
622,60003,6,4,2,2.135,3816,788467
623,60022,4,2,1,2.798,2376,523094
624,60047,4,2,1,2.795,2432,502989
625,60043,9,2,2,0.871,4885,996655
626,60038,2,1,0,2.005,1191,241491
627,60020,7,3,2,2.269,4091,843447
628,60035,2,1,0,3.122,1190,247452
629,60023,8,6,3,1.057,5245,1094094
630,60003,8,3,3,0.367,4648,956027
631,60016,7,4,2,3.794,4306,895365
632,60002,5,1,2,4.145,2746,600626
633,60023,3,1,1,1.068,1722,369549
634,60038,1,1,0,4.135,690,151941
635,60035,4,2,1,0.552,2409,488402
636,60028,2,1,0,3.738,1226,256291
637,60049,8,2,3,4.474,4435,943063
638,60024,1,1,0,2.464,745,187850
639,60003,4,1,1,3.662,2190,460902
640,60039,5,2,2,1.254,2863,588114
641,60037,7,3,2,0.734,4106,857172
642,60017,8,4,2,2.929,4795,977739
643,60029,2,1,0,2.624,1218,265883
644,60022,7,2,2,3.326,3905,841534
645,60014,7,4,2,4.519,4259,899128
646,60000,9,6,2,3.367,5716,1167615
647,60022,5,2,2,1.921,2896,632709
648,60042,1,1,0,0.328,676,133729
649,60036,9,5,3,0.344,5464,1151334
650,60031,5,1,2,2.841,2722,579760
651,60020,4,2,1,4.076,2413,506882
652,60000,4,1,1,1.166,2200,443410
653,60019,6,1,2,3.81,3154,662440
654,60048,9,6,2,3.514,5685,1164697
655,60013,9,3,2,1.366,5122,1068006
656,60041,2,1,0,2.27,1226,270013
657,60043,3,1,1,3.49,1728,368350
658,60029,7,5,2,1.53,4528,942413
659,60017,9,5,3,3.025,5483,1125819
660,60044,1,1,0,4.677,704,160550
661,60030,1,1,0,3.068,712,174502
662,60023,9,2,3,3.011,4908,1036464
