id,height,width,depth,shape,quality,cost
152,68,99,44,cylinder,52,1373.51
153,80,95,86,cylinder,9,5745.77
154,29,81,7,box,76,48.53
155,20,39,54,ellipsoid,37,128.17
156,44,56,72,ellipsoid,98,17.13
157,6,24,44,cylinder,51,29.99
158,95,90,74,box,60,3112.88
159,32,33,84,cylinder,89,94.26
160,96,85,62,box,65,2177.98
161,83,45,67,ellipsoid,43,688.97
162,66,84,74,cylinder,28,2853.52
163,85,49,68,box,34,2299.17
164,78,88,49,cylinder,92,259.93
165,98,50,22,cylinder,55,468.62
166,38,92,9,cylinder,7,282.67
167,88,28,56,ellipsoid,3,646.49
168,44,80,61,ellipsoid,83,176.31
169,12,83,60,ellipsoid,78,63.5
170,28,84,8,box,52,111.08
171,37,72,90,box,5,2801.59
172,96,75,1,box,33,59.33
173,22,60,20,box,63,120.14
174,12,18,86,cylinder,61,69.98
175,30,6,60,box,44,74.39
176,63,71,79,cylinder,88,409.63
177,8,92,17,cylinder,10,108.78
178,14,80,72,ellipsoid,62,148.01
179,40,4,21,box,10,37.19
180,34,22,20,ellipsoid,99,0.72
181,4,4,69,box,42,7.87
182,11,91,43,cylinder,45,228.69
183,28,74,15,box,10,344.05
184,60,2,6,cylinder,51,3.4
185,28,4,62,cylinder,89,7.37
186,9,43,26,cylinder,59,39.85
187,54,11,81,ellipsoid,48,120.84
188,76,30,50,box,91,126.19
189,1,83,21,box,24,16.29
190,33,89,99,box,97,107.29
191,7,79,59,box,62,152.49
192,41,92,27,ellipsoid,37,309.91
193,74,58,92,box,51,2379.84
194,36,31,47,ellipsoid,66,86.14
195,95,46,92,cylinder,57,1670.06
196,61,69,47,box,3,2360.22
197,15,40,31,ellipsoid,8,82.65
198,91,34,30,box,51,559.42
199,97,97,18,ellipsoid,5,777.14
200,24,5,85,box,15,106.64
201,14,3,87,ellipsoid,39,10.76
202,85,93,51,box,12,4363.74
203,35,89,13,box,7,463.22
204,69,61,29,ellipsoid,87,76.64
205,52,84,80,ellipsoid,31,1164.62
206,13,52,87,cylinder,36,363.61
207,42,68,84,box,89,324.59
208,45,84,30,box,33,934.52
209,9,47,57,box,25,222.42
210,55,72,45,ellipsoid,98,17.21
211,14,38,77,box,53,236.81
212,91,41,13,cylinder,86,65.59
213,19,9,33,ellipsoid,6,25.62
214,32,24,50,ellipsoid,71,53.78
215,12,19,70,box,4,188.45
216,90,6,24,box,21,125.93
217,55,20,84,cylinder,72,249.93
218,87,1,81,box,17,71.94
219,31,13,19,ellipsoid,46,19.97
220,2,24,88,ellipsoid,24,15.5
221,87,60,46,ellipsoid,81,220.36
222,86,14,52,cylinder,16,508.04
223,31,67,74,box,37,1191
224,32,43,24,box,33,272.15
225,65,55,45,box,88,237.45
226,99,78,17,ellipsoid,39,386.78
227,61,94,74,ellipsoid,13,1783.09
228,20,69,7,cylinder,30,65.32
229,43,49,26,box,4,646.86
230,32,94,19,ellipsoid,60,110.42
231,98,43,29,ellipsoid,91,53.12
232,27,11,42,ellipsoid,70,18.07
233,74,23,43,ellipsoid,34,233.31
234,50,52,41,box,61,511.36
235,42,27,39,cylinder,54,196.53
236,16,19,67,cylinder,50,98.38
237,92,50,79,ellipsoid,79,368.61
238,11,81,94,box,37,649
239,1,34,33,cylinder,15,9.21
240,64,30,67,ellipsoid,28,447.37
241,61,25,82,cylinder,47,640.25
242,86,20,82,cylinder,20,1090
243,5,18,24,box,49,13.54
244,23,68,40,box,19,623.28
245,84,60,70,box,21,3428.15
246,73,60,41,cylinder,52,832.71
247,52,82,93,cylinder,42,2221.89
248,67,67,44,ellipsoid,99,9.54
249,75,18,86,cylinder,18,919.68
250,82,74,18,ellipsoid,60,211.02
251,33,65,20,box,72,147.74
252,13,80,20,ellipsoid,95,5.02
253,20,92,63,box,47,755.68
254,4,68,89,cylinder,10,210.47
255,69,56,37,ellipsoid,99,6.9
256,66,36,64,box,48,972.6
257,57,83,34,cylinder,70,466.17
258,11,42,18,ellipsoid,32,27.31
259,71,25,56,ellipsoid,72,134.43
260,18,25,34,ellipsoid,52,35.47
261,55,95,62,cylinder,66,1064.02
262,41,37,11,cylinder,84,25.79
263,10,77,36,box,10,306.86
264,87,97,91,ellipsoid,15,3152.94
265,29,46,58,ellipsoid,83,63.53
266,25,54,94,cylinder,13,1066.53
267,60,73,24,box,91,116.36
268,47,11,29,ellipsoid,93,5.06
269,50,73,63,box,49,1442.47
270,45,33,93,cylinder,66,453.61
271,94,61,14,cylinder,23,597.13
272,9,75,23,cylinder,34,98.98
273,44,42,74,cylinder,5,1255.02
274,3,4,19,ellipsoid,79,0.23
275,61,14,2,box,44,11.76
276,38,8,98,cylinder,33,192.82
277,14,40,42,cylinder,95,11.36
278,38,83,26,cylinder,74,205.96
279,24,47,97,cylinder,92,84.56
280,20,43,3,box,54,14.59
281,14,31,90,ellipsoid,74,49.05
282,90,49,92,ellipsoid,33,1313
283,23,52,49,ellipsoid,85,42.46
284,15,98,59,box,25,800.08
285,53,66,96,box,38,2560.87
286,79,34,32,cylinder,74,215.88
287,47,44,46,cylinder,6,863.83
288,68,39,67,ellipsoid,89,94.4
289,81,56,22,cylinder,77,221.72
290,36,97,17,cylinder,34,378.49
291,29,48,31,ellipsoid,32,141.73
292,41,89,67,cylinder,30,1653.26
293,18,27,5,cylinder,6,22.06
294,33,27,65,ellipsoid,63,103.5
295,38,17,81,cylinder,62,192.08
296,93,19,45,ellipsoid,88,46.08
297,48,50,60,box,54,814.75
298,81,59,33,box,93,135.78
299,11,41,50,cylinder,59,89.31
300,33,46,68,ellipsoid,96,19.94
301,49,64,87,cylinder,19,2134.88
302,91,5,10,box,13,48.68
303,94,53,7,cylinder,59,138.12
304,38,82,1,cylinder,10,27.09
305,38,77,91,cylinder,68,823.11
306,3,56,90,ellipsoid,84,11.68
307,1,1,65,ellipsoid,7,0.29
308,16,47,80,box,54,340.38
309,68,25,28,box,46,316.15
310,45,98,31,cylinder,93,92.44
311,80,32,91,ellipsoid,62,427.59
312,27,52,44,box,86,106.37
313,72,30,2,box,18,43.57
314,81,31,7,box,1,214.03
315,76,36,57,ellipsoid,11,670.41
316,16,54,96,box,34,673.33
317,54,9,43,ellipsoid,49,51.48
318,97,89,33,ellipsoid,69,426.58
319,60,69,73,box,84,594.76
320,74,61,95,box,5,5010.87
321,63,25,56,box,96,43.39
322,24,83,66,box,35,1051.11
323,5,76,85,ellipsoid,72,43.68
324,95,40,30,cylinder,46,594.69
325,66,51,43,ellipsoid,81,132.83
326,67,88,25,ellipsoid,10,640.77
327,97,56,24,box,95,80.17
328,19,93,72,box,91,140.83
329,56,61,15,cylinder,65,173.24
330,53,98,47,cylinder,47,1249.88
331,9,80,60,ellipsoid,31,143.97
332,77,62,73,box,66,1457.43
333,8,7,92,ellipsoid,98,0.49
334,20,36,65,ellipsoid,10,203.44
335,36,41,23,box,89,45.93
336,59,55,80,ellipsoid,80,250.78
337,58,9,80,cylinder,88,48.41
338,91,75,93,cylinder,79,1287.65
339,23,64,27,cylinder,91,34.55
340,86,99,82,cylinder,75,1686.09
341,18,22,61,cylinder,8,214.68
342,6,95,44,cylinder,43,138.1
343,29,6,48,cylinder,78,17.75
344,51,50,71,box,20,1781.53
345,80,99,35,cylinder,78,589.12
346,36,26,4,ellipsoid,24,13.74
347,26,29,71,box,2,645.29
348,99,21,94,cylinder,52,906.18
349,44,76,41,ellipsoid,98,13.24
350,62,47,16,ellipsoid,97,6.75
351,67,68,47,cylinder,27,1510.07
352,51,74,2,ellipsoid,44,20.41
353,88,78,36,cylinder,56,1050.33
354,88,7,27,cylinder,89,17.67
355,34,21,75,ellipsoid,81,49.14
356,57,9,61,cylinder,54,139.05
357,22,78,76,box,43,914.34
358,96,42,85,box,57,1812.64
359,35,82,54,cylinder,61,583.89
360,59,88,8,ellipsoid,8,184.57
361,55,17,87,box,92,80.04
362,47,55,87,box,24,2102.31
363,37,61,87,box,32,1642.34
364,36,3,79,ellipsoid,3,39.97
365,90,50,98,cylinder,85,639.03
366,49,34,56,ellipsoid,48,234.33
367,86,54,33,box,61,735.14
368,43,45,60,ellipsoid,90,56.07
369,66,56,70,cylinder,50,1249.66
370,70,56,37,ellipsoid,3,679.55
371,85,30,86,ellipsoid,27,773.26
372,54,81,81,ellipsoid,100,0
373,63,45,51,box,83,302.32
374,96,90,42,box,46,2410.24
375,8,74,99,box,98,14.41
376,55,10,92,cylinder,47,259.07
377,21,33,98,ellipsoid,34,216.5
378,91,95,46,box,19,3961.98
379,51,29,28,box,11,453.33
380,34,77,62,ellipsoid,22,611.53
381,92,92,54,box,58,2361.15
382,38,4,90,cylinder,21,104.4
383,69,15,75,cylinder,65,262.46
384,54,25,55,cylinder,100,0
385,85,33,54,box,56,819.75
386,2,75,91,box,41,99.05
387,44,39,66,box,69,431.84
388,69,36,6,cylinder,69,44.63
389,2,90,25,ellipsoid,63,8.04
390,95,56,2,box,63,48.42
391,50,6,45,ellipsoid,43,37.16
392,3,70,32,cylinder,43,37
393,43,74,99,ellipsoid,22,1186.84
394,86,20,28,ellipsoid,91,20.93
395,9,38,19,cylinder,63,23.22
396,13,88,5,box,32,47.84
397,38,48,73,ellipsoid,14,553.1
398,66,98,65,box,6,4860.89
399,47,74,54,box,42,1339.85
400,81,93,99,ellipsoid,1,3566.18
401,43,21,37,box,79,86.3
402,30,39,73,cylinder,57,354.79
403,58,18,1,cylinder,91,0.9
404,52,21,19,box,4,244.99
405,25,55,13,box,53,103.33
406,40,20,89,box,10,788.18
407,57,37,65,box,10,1517.53
408,76,96,11,ellipsoid,34,255.85
409,83,1,42,ellipsoid,20,13.47
410,21,17,53,ellipsoid,10,82.25
411,88,32,37,cylinder,23,775.03
412,21,72,94,box,79,367.11
413,93,55,16,box,24,765.04
414,5,96,93,cylinder,71,125.05
415,98,21,16,ellipsoid,12,139.96
416,96,41,5,box,7,225.11
417,40,45,51,box,39,688.77
418,97,64,87,ellipsoid,70,782.63
419,73,60,22,ellipsoid,67,153.59
420,77,36,25,ellipsoid,69,103.76
421,50,23,22,ellipsoid,36,78.21
422,58,46,39,box,38,793.5
423,88,23,59,ellipsoid,85,86.52
424,48,21,71,ellipsoid,92,27.65
425,64,55,69,ellipsoid,66,398.87
426,10,45,29,ellipsoid,66,21.43
427,41,99,26,ellipsoid,29,361.92
428,58,60,59,cylinder,24,1507.43
429,46,82,6,ellipsoid,7,101.66
430,57,61,69,box,76,708.22
431,83,51,29,ellipsoid,51,290.54
432,15,51,68,ellipsoid,95,12.56
433,77,41,26,cylinder,16,666.07
434,11,38,10,ellipsoid,87,2.62
435,24,56,95,ellipsoid,32,419.36
436,4,96,47,ellipsoid,67,28.76
437,76,7,84,cylinder,73,116.56
438,3,31,40,box,67,15.09
439,49,69,10,cylinder,8,300.48
440,79,81,32,box,35,1637.12
441,69,73,14,ellipsoid,56,149.87
442,21,2,6,cylinder,74,0.63
443,25,3,81,box,21,59.03
444,94,86,27,cylinder,13,1834.44
445,55,13,12,ellipsoid,47,21.96
446,45,88,20,cylinder,93,53.55
447,59,69,24,cylinder,62,358.66
448,56,59,35,ellipsoid,69,173.15
449,78,30,85,box,81,464.82
450,26,65,6,ellipsoid,85,7.34
451,24,75,34,cylinder,13,514.35
452,2,52,5,ellipsoid,68,0.8
453,5,73,68,cylinder,28,172.63
454,47,51,93,box,98,54.83
455,62,57,4,box,91,15.64
456,83,27,75,cylinder,51,795.59
457,47,43,38,ellipsoid,9,337.56
458,31,1,12,box,34,3.01
459,66,40,48,ellipsoid,14,526.39
460,58,79,27,box,97,45.65
461,57,71,59,box,20,2349.52
462,99,80,75,ellipsoid,6,2696.98
463,93,50,4,box,64,82.36
464,88,30,46,box,21,1180.03
465,26,75,21,cylinder,96,15.82
466,3,83,25,ellipsoid,85,4.51
467,66,98,66,box,7,4883.17
468,39,12,74,cylinder,9,304.44
469,80,69,14,cylinder,98,14.93
470,86,85,5,box,88,53.94
471,50,99,30,ellipsoid,74,186.49
472,3,42,86,cylinder,63,38.73
473,80,4,32,box,31,86.9
474,11,81,59,box,17,536.67
475,68,50,98,box,59,1680.32
476,79,24,79,ellipsoid,15,614.96
477,23,37,32,ellipsoid,89,14.46
478,98,50,72,box,45,2386.69
479,89,92,23,box,37,1459.32
480,2,36,11,ellipsoid,90,0.38
481,92,94,63,ellipsoid,75,657.9
482,40,1,95,cylinder,84,5.87
483,54,59,6,cylinder,78,40.62
484,83,32,95,box,59,1272.44
485,34,56,9,ellipsoid,67,27.31
486,53,53,23,box,19,643.67
487,51,5,58,box,92,14.55
488,22,16,48,box,32,141.31
489,11,84,8,cylinder,6,67.12
490,97,6,25,cylinder,96,5.62
491,50,51,19,box,89,65.55
492,33,63,76,cylinder,56,671.6
493,71,89,25,cylinder,98,30.52
494,83,24,20,cylinder,95,19.24
495,42,24,51,ellipsoid,82,44.69
496,6,72,93,ellipsoid,16,163
497,79,81,14,ellipsoid,56,190.39
498,73,65,4,box,96,9.33
499,14,49,28,box,95,11.81
500,8,65,98,cylinder,3,477.52
501,43,23,11,ellipsoid,11,46.76
502,26,13,79,box,23,252.89
503,67,90,91,cylinder,24,4028.72
504,91,4,33,cylinder,15,98.63
505,58,4,89,ellipsoid,82,17.95
506,12,52,57,ellipsoid,70,51.54
507,26,88,83,ellipsoid,65,321.04
508,97,82,15,box,59,601.68
509,88,10,45,ellipsoid,67,63.12
510,60,35,41,cylinder,12,731.94
511,19,93,52,cylinder,18,727.86
512,73,75,27,cylinder,26,1056.75
513,68,19,14,ellipsoid,32,59.41
514,4,24,50,ellipsoid,83,3.94
515,55,86,71,ellipsoid,3,1573.46
516,63,10,9,cylinder,18,44.91
517,29,90,6,cylinder,13,131.61
518,32,29,20,box,75,57.07
519,25,46,10,box,96,5.65
520,24,99,14,ellipsoid,67,53.02
521,37,74,95,ellipsoid,97,37.69
522,27,82,74,ellipsoid,20,633.08
523,40,33,79,box,95,64.13
524,99,6,97,box,50,354.35
525,67,69,54,ellipsoid,21,952.59
526,57,68,27,cylinder,43,576.25
527,47,88,85,box,98,86.48
528,33,63,99,ellipsoid,49,507.01
529,48,82,60,box,26,2149.52
530,81,65,7,cylinder,62,135.29
531,28,30,37,box,88,45.87
532,99,66,79,box,78,1396.79
533,95,87,67,cylinder,24,4065.61
534,37,35,11,box,46,94.61
535,1,74,81,cylinder,6,54.43
536,62,28,19,ellipsoid,74,41.42
537,62,67,86,cylinder,97,103.53
538,10,62,39,ellipsoid,64,42.04
539,14,37,24,cylinder,25,90.07
540,30,89,99,ellipsoid,95,63.83
541,98,99,18,cylinder,99,16.87
542,72,30,27,box,19,581.04
543,47,92,42,cylinder,17,1456.15
544,14,53,5,cylinder,39,21.86
545,65,32,31,box,18,650.34
546,7,33,57,box,92,12.95
547,31,79,6,cylinder,52,68.13
548,2,80,30,box,51,28.92
549,57,4,94,cylinder,75,51.76
550,32,13,65,cylinder,40,156.73
551,85,91,40,box,28,2740.04
552,17,11,94,box,7,201.07
553,19,66,72,ellipsoid,49,222.41
554,51,36,4,cylinder,11,63.14
555,32,55,45,cylinder,24,581.47
556,28,78,21,ellipsoid,18,181.65
557,28,79,43,ellipsoid,21,362.94
558,48,92,16,ellipsoid,63,126.27
559,40,16,56,cylinder,70,103.86
560,70,92,74,ellipsoid,49,1173.95
561,40,83,87,box,74,923.71
562,30,96,22,box,63,288.35
563,77,66,76,cylinder,39,2276
564,11,42,28,box,98,3.18
565,65,85,10,cylinder,46,288.21
566,82,55,38,box,51,1032.9
567,72,29,83,ellipsoid,6,786.86
568,78,53,58,ellipsoid,75,289.53
569,71,29,50,ellipsoid,91,44.75
570,79,3,67,cylinder,39,93.57
571,53,70,12,cylinder,70,129.02
572,88,82,77,box,37,4305.59
573,24,99,30,ellipsoid,24,261.66
574,52,50,68,cylinder,8,1571.32
575,49,91,88,ellipsoid,21,1497.31
576,44,24,41,ellipsoid,23,161.02
577,75,48,62,ellipsoid,94,64.68
578,32,97,9,box,7,319.55
579,81,33,82,ellipsoid,49,539.94
580,68,64,19,cylinder,6,750.87
581,30,98,10,box,51,177.19
582,12,23,41,cylinder,51,53.56
583,14,99,98,cylinder,49,669.19
584,39,22,72,box,88,91.18
585,13,62,69,ellipsoid,23,206.84
586,20,39,34,box,24,247.9
587,26,97,31,box,90,96.16
588,47,11,5,ellipsoid,87,1.62
589,6,46,65,ellipsoid,7,80.58
590,67,8,96,box,67,208.85
591,29,74,10,cylinder,16,174.14
592,66,29,25,ellipsoid,32,157.16
593,6,2,81,cylinder,75,2.34
594,33,41,13,box,44,121.15
595,92,42,55,cylinder,95,102.65
596,84,29,55,box,5,1565.55
597,24,92,14,ellipsoid,73,40.31
598,86,15,23,box,74,94.88
599,46,15,91,cylinder,84,97.05
600,27,2,78,ellipsoid,54,9.35
601,90,12,66,cylinder,59,282.32
602,51,87,34,ellipsoid,51,357.05
603,83,46,35,ellipsoid,59,264.63
604,9,96,2,ellipsoid,2,8.17
605,23,98,25,ellipsoid,48,141.53
606,21,99,67,ellipsoid,40,403.68
607,78,45,25,box,18,885.04
608,97,82,9,box,48,457.86
609,26,27,96,cylinder,41,384.1
610,4,47,18,ellipsoid,27,11.93
611,84,46,71,box,86,472.42
612,3,84,22,box,78,15
613,24,92,99,ellipsoid,59,432.89
614,26,14,42,cylinder,67,48.73
615,37,95,29,cylinder,43,561.29
616,17,64,35,ellipsoid,85,27.59
617,23,79,83,cylinder,9,1325.77
618,41,14,20,ellipsoid,31,38.26
619,87,74,30,cylinder,8,1716.54
620,56,6,2,ellipsoid,59,1.33
621,54,77,22,box,68,360.04
622,64,94,96,ellipsoid,69,864.78
623,33,21,8,box,55,30.68
624,1,15,96,cylinder,33,9.32
625,25,64,66,ellipsoid,28,367.24
626,21,19,81,cylinder,33,209.18
627,24,85,37,box,67,306.37
628,40,69,26,cylinder,55,311.95
629,21,59,51,box,35,505.19
630,82,44,25,cylinder,84,139.41
631,91,3,82,cylinder,6,203.28
632,29,6,22,cylinder,54,17.01
633,40,97,96,cylinder,46,1943.08
634,49,88,13,cylinder,86,75.81
635,38,40,81,ellipsoid,100,0
636,12,32,79,ellipsoid,62,55.68
637,82,33,25,ellipsoid,19,264.67
638,5,9,17,ellipsoid,80,0.73
639,89,56,58,ellipsoid,33,935.5
640,33,49,73,cylinder,94,68.41
641,83,3,46,cylinder,58,46.47
642,33,25,16,box,3,157.48
643,62,23,13,box,16,191.53
644,99,13,19,box,15,255.65
645,33,76,1,box,15,26.22
646,38,81,23,box,17,722.73
647,78,63,81,ellipsoid,4,1845.67
648,72,82,56,box,35,2643.33
649,51,1,70,cylinder,27,25.17
650,89,77,50,box,99,42.14
651,59,71,19,ellipsoid,48,199.9
652,86,58,20,box,51,601.25
653,8,71,76,box,52,254.86
654,49,37,90,ellipsoid,46,425.59
655,14,73,2,box,32,17.09
656,43,94,55,ellipsoid,10,966.42
657,46,36,83,ellipsoid,81,126.14
658,50,98,21,box,39,772.05
659,46,82,72,ellipsoid,31,905.14
660,12,68,4,ellipsoid,86,2.2
661,4,59,44,cylinder,69,31.09
662,50,11,99,box,53,314.77
663,21,98,25,box,50,316.41
664,77,55,42,cylinder,48,893.51
665,73,58,5,cylinder,35,132.93
666,97,63,55,ellipsoid,88,194.81
667,49,97,20,cylinder,14,789.75
668,42,42,78,cylinder,43,757.64
669,96,13,50,box,39,468.18
670,44,17,97,box,48,464.06
671,98,50,88,box,19,4296.04
672,52,73,14,ellipsoid,59,105.24
673,61,20,87,ellipsoid,100,0
674,61,10,24,cylinder,89,15.55
675,59,9,80,box,28,376.2
676,22,61,99,box,13,1421.71
677,97,47,34,box,70,571.97
678,47,5,95,box,66,93.36
679,51,72,2,box,16,75.87
680,46,83,88,box,90,413.26
681,33,81,12,ellipsoid,29,110
682,10,38,49,ellipsoid,46,48.56
683,77,61,75,box,73,1169.9
684,47,81,75,box,29,2493.48
685,85,55,71,ellipsoid,30,1122.28
686,7,86,69,ellipsoid,9,182.57
687,79,38,40,box,96,59.07
688,2,68,84,cylinder,66,37.52
689,70,89,63,box,36,3089.68
690,56,2,93,ellipsoid,50,25.15
691,8,61,82,ellipsoid,26,143.03
692,33,61,76,cylinder,14,1271.01
693,94,24,96,ellipsoid,22,815.96
694,17,97,4,ellipsoid,6,29.94
695,28,99,22,ellipsoid,21,232.7
696,74,88,55,cylinder,32,2352.77
697,43,70,67,cylinder,75,487.05
698,62,80,45,ellipsoid,99,10.78
699,22,56,63,cylinder,30,524.86
700,65,5,58,ellipsoid,54,41.88
701,5,96,81,cylinder,43,214.08
702,29,3,76,box,24,61.8
703,18,48,94,cylinder,99,7.84
704,81,17,89,box,79,316.55
705,30,98,60,box,17,1800.86
706,91,80,7,ellipsoid,30,172.3
707,16,92,7,cylinder,73,26.87
708,73,84,49,ellipsoid,63,536.98
709,48,12,96,cylinder,29,379.26
710,37,62,68,ellipsoid,81,143.15
711,18,50,73,ellipsoid,68,101.55
712,8,51,82,cylinder,94,19.39
713,85,23,91,ellipsoid,32,584.33
714,96,86,88,ellipsoid,91,315.83
715,75,85,54,cylinder,40,1995.35
716,76,40,36,box,60,538.44
717,95,40,8,ellipsoid,20,117.47
718,47,82,85,box,90,402.93
719,91,14,32,box,2,491.41
720,92,80,12,box,83,184.67
721,97,52,3,box,50,93.06
722,64,48,71,cylinder,48,1095.66
723,31,66,14,ellipsoid,86,19.36
724,12,41,10,box,34,39.94
725,83,82,97,cylinder,26,4719.43
726,63,54,27,ellipsoid,57,190.77
727,59,71,1,box,48,26.79
728,35,93,57,box,79,479.23
729,97,85,92,cylinder,10,6595.01
730,99,62,12,ellipsoid,28,256.15
731,62,98,80,cylinder,40,2817.43
732,73,57,28,ellipsoid,31,388.3
733,20,65,5,ellipsoid,31,21.66
734,57,35,82,ellipsoid,63,292.36
735,93,38,35,ellipsoid,37,376.39
736,73,92,90,box,47,3940.34
737,21,70,99,box,96,71.6
738,8,6,24,cylinder,88,1.33
739,11,33,63,ellipsoid,31,76.21
740,94,10,23,cylinder,65,73.1
741,44,68,73,cylinder,92,168.79
742,64,11,23,cylinder,62,59.44
